Unknown,US,EMEA,ASIA,CANADA,LATAM
ABCRY, KYWON,ATEBT,AEA15,ABCLA,AGANU
ABEDN, NVLSV,ATFSH,AEABI,ABCRA,ANHCU
ABEDO, NYSPR,ATGRO,AEABU,ABCRY,ARBAI
ABRDE, TXHS1,ATHOE,AEDBI,ABEDA,ARBAR
ABYYC,AKACO,ATINB,AEDFZ,ABEDN,ARBNS
AEDBI,AKACR,ATLAT,AEDUI,ABEDO,ARBUE
AEDXB,AKARG,ATNNA,AEDXB,ABGAR,ARBUN
AEJLL,AKERI,ATSPS,AEJLL,ABRDE,ARCOR
AKACO,AKFAR,ATVIA,AESHR,ABTON,AREZE
AKERI,AKFKS,ATVIN,AUBTY,ABYYC,ARLPL
AKFKS,AKHMR,ATWUN,AUGRY,BCABF,ARMED
AKHOM,AKJNE,BAEVO,AUMAS,BCABT,ARROS
AKJNE,AKKEN,BEANT,AUMNE,BCANI,AWORA
AKKEN,AKKOD,BEBSE,AUMUR,BCCOU,BBBRI
AKKOD,AKKTN,BEBSL,AUPBO,BCFRV,BMAIR
AKKTN,AKRGE,BEDIE,AUPRH,BCKAM,BMHAM
ALANN,AKSTA,BEFRO,AUSPV,BCKEO,BOLAP
ALAWL1,AKWSA,BEGEM,AUSYY,BCNAO,BOLPA
ALBAI,ALANN,BELUM,BDDHA,BCRHD,BOLPZ
ALBIR,ALAWL,BEREK,BHMUH,BCRIM,BOPAZ
ALDEA,ALBAI,BGOFI,CN10H,BCRMD,BOSCR
ALDEC,ALBIR,BGSOA,CN1NA,BCVCR,BRBHO
ALDOT,ALBOZ,BYMSK,CN1ST,BCVIC,BRBRL
ALENT,ALDEA,CHARL,CN27J,BCVTA,BRCAJ
ALEVE,ALDEC,CHBAC,CN530,MBLUC,BRCAM
ALFLO,ALDOA,CHBAH,CN80F,MBNEG,BRCAM
ALFPN,ALDOT,CHBAS,CNAGH,MBPEG,BRCPS
ALFTP,ALENT,CHGRN,CNAME,MBWIN,BRCPS
ALGAD,ALEVE,CHMEY,CNBAO,MBWIP,BRCUR
ALGOO,ALFLO,CHMUN,CNBEJ,MBWNI,BRFOT
ALHAR,ALFPN,CHRUE,CNBEN,MBWPE,BRGOI
ALHHU,ALFTP,CHWLB,CNCGZ,MBYWG,BRJDC
ALHUN,ALGAD,CIABJ,CNCHG,NBDIP,BRMNA
ALHVL,ALGOO,CMCDU,CNCHN,NBFRE,BRNAV
ALLOX,ALHAM,CYARA,CNCLH,NBFRN,BRPTA
ALMBE,ALHAR,CYNCO,CNCOI,NBMON,BRRCF
ALMOB,ALHHU,CYNIO,CNCQG,NBSNJ,BRRDO
ALMON,ALHUN,CZBNO,CNCSH,NLMPL,BRSAN
ALOPE,ALHVL,CZGUE,CNDAA,NSDAT,BRSAO
ALPCY,ALLOX,CZONL,CNDAH,NSDMH,BRSAO
ALROE,ALMBE,CZOSV,CNDAI,NSSDY,BRSAV
ALTOM,ALMOB,CZPGE,CNDLN,NSTRR,BRSOP
ALTRU,ALMOL,CZPGU,CNDNY,ONBAR,BRSPA
ALTUS,ALMON,CZPNS,CNDOG,ONBEL,BRVIC
ALWIN,ALMTY,CZPRG,CNDUA,ONBMP,BSFRP
ARBAI,ALNST,CZTCH,CNFDA,ONBTF,BSNSA
ARBAR,ALOPE,DEACC,CNFOH,ONBUR,CLAGO
ARBAT,ALPCY,DEALL,CNFRR,ONCHM,CLSCL
ARBLY,ALROE,DEBAM,CNFZH,ONCND,CLSCL
ARCAM,ALTOM,DEBAT,CNGBO,ONGLU,CLSTI
ARCON,ALTRU,DEBEN,CNGDU,ONHAI,CLVAL
ARDER,ALTUS,DEBIN,CNGGH,ONHAM,COBGT
ARELD,ALWIN,DEBLD,CNGGN,ONKAN,COBTA
AREZE,ARBAT,DEBLN,CNGGZ,ONKGS,COCAL
ARFOR,ARBLY,DEBLS,CNGUU,ONKIN,COFNZ
ARFOS,ARBNV,DEBON,CNGZC,ONKIT,COFZA
ARHAR,ARCAM,DEBRA,CNHAA,ONLDN,COMDN
ARHOT,ARCON,DEBRE,CNHEF,ONLON,COMDN
ARJNB,ARDER,DEBRL,CNHHA,ONMIG,COMED
ARLIA,ARELD,DEBUT,CNHNU,ONMIS,COMEL
ARLIT,ARFOR,DECGE,CNHON,ONMKH,COOOA
